央视,#genre#
浙江卫视,http://192.168.2.1:5155/rtp/233.18.204.84:5140?fcc=124.75.26.151:15970
浙江卫视,http://192.168.2.1:5155/rtp/233.18.204.121:5140?fcc=124.75.26.151:15970
江苏卫视,http://192.168.2.1:5155/rtp/233.18.204.226:5140?fcc=124.75.26.151:15970
江苏卫视,http://192.168.2.1:5155/rtp/233.18.204.85:5140?fcc=124.75.26.151:15970
江苏卫视,http://192.168.2.1:5155/rtp/233.18.204.120:5140?fcc=124.75.26.151:15970
安徽卫视,http://192.168.2.1:5155/rtp/233.18.204.93:5140?fcc=124.75.26.151:15970
安徽卫视,http://192.168.2.1:5155/rtp/233.18.204.127:5140?fcc=124.75.26.151:15970
北京卫视,http://192.168.2.1:5155/rtp/233.18.204.209:5140?fcc=124.75.26.151:15970
北京卫视,http://192.168.2.1:5155/rtp/233.18.204.87:5140?fcc=124.75.26.151:15970
北京卫视,http://192.168.2.1:5155/rtp/233.18.204.118:5140?fcc=124.75.26.151:15970
北京卫视,http://192.168.2.1:5155/rtp/233.18.204.210:5140?fcc=124.75.26.151:15970
天津卫视,http://192.168.2.1:5155/rtp/233.18.204.97:5140?fcc=124.75.26.151:15970
天津卫视,http://192.168.2.1:5155/rtp/233.18.204.129:5140?fcc=124.75.26.151:15970
河北卫视,http://192.168.2.1:5155/rtp/233.18.204.103:5140?fcc=124.75.26.151:15970
河北卫视,http://192.168.2.1:5155/rtp/233.18.204.140:5140?fcc=124.75.26.151:15970
河南卫视,http://192.168.2.1:5155/rtp/233.18.204.105:5140?fcc=124.75.26.151:15970
河南卫视,http://192.168.2.1:5155/rtp/233.18.204.145:5140?fcc=124.75.26.151:15970
湖北卫视,http://192.168.2.1:5155/rtp/233.18.204.92:5140?fcc=124.75.26.151:15970
湖北卫视,http://192.168.2.1:5155/rtp/233.18.204.142:5140?fcc=124.75.26.151:15970
山东卫视,http://192.168.2.1:5155/rtp/233.18.204.228:5140?fcc=124.75.26.151:15970
山东卫视,http://192.168.2.1:5155/rtp/233.18.204.91:5140?fcc=124.75.26.151:15970
山东卫视,http://192.168.2.1:5155/rtp/233.18.204.125:5140?fcc=124.75.26.151:15970
山西卫视,http://192.168.2.1:5155/rtp/233.18.204.211:5140?fcc=124.75.26.151:15970
山西卫视,http://192.168.2.1:5155/rtp/233.18.204.132:5140?fcc=124.75.26.151:15970
四川卫视,http://192.168.2.1:5155/rtp/233.18.204.225:5140?fcc=124.75.26.151:15970
四川卫视,http://192.168.2.1:5155/rtp/233.18.204.99:5140?fcc=124.75.26.151:15970
四川卫视,http://192.168.2.1:5155/rtp/233.18.204.124:5140?fcc=124.75.26.151:15970
重庆卫视,http://192.168.2.1:5155/rtp/233.18.204.100:5140?fcc=124.75.26.151:15970
重庆卫视,http://192.168.2.1:5155/rtp/233.18.204.143:5140?fcc=124.75.26.151:15970
广东卫视,http://192.168.2.1:5155/rtp/233.18.204.218:5140?fcc=124.75.26.151:15970
广东卫视,http://192.168.2.1:5155/rtp/233.18.204.88:5140?fcc=124.75.26.151:15970
广东卫视,http://192.168.2.1:5155/rtp/233.18.204.138:5140?fcc=124.75.26.151:15970
深圳卫视,http://192.168.2.1:5155/rtp/233.18.204.219:5140?fcc=124.75.26.151:15970
深圳卫视,http://192.168.2.1:5155/rtp/233.18.204.89:5140?fcc=124.75.26.151:15970
深圳卫视,http://192.168.2.1:5155/rtp/233.18.204.146:5140?fcc=124.75.26.151:15970
东南卫视,http://192.168.2.1:5155/rtp/233.18.204.94:5140?fcc=124.75.26.151:15970
海南卫视,http://192.168.2.1:5155/rtp/233.18.204.102:5140?fcc=124.75.26.151:15970
海南卫视,http://192.168.2.1:5155/rtp/233.18.204.122:5140?fcc=124.75.26.151:15970
三沙卫视,http://192.168.2.1:5155/rtp/233.18.204.172:5140?fcc=124.75.26.151:15970
三沙卫视,http://192.168.2.1:5155/rtp/233.18.204.149:5140?fcc=124.75.26.151:15970
广西卫视,http://192.168.2.1:5155/rtp/233.18.204.107:5140?fcc=124.75.26.151:15970
广西卫视,http://192.168.2.1:5155/rtp/233.18.204.123:5140?fcc=124.75.26.151:15970
云南卫视,http://192.168.2.1:5155/rtp/233.18.204.106:5140?fcc=124.75.26.151:15970
云南卫视,http://192.168.2.1:5155/rtp/233.18.204.128:5140?fcc=124.75.26.151:15970
云南卫视,http://192.168.2.1:5155/rtp/233.18.204.136:5140?fcc=124.75.26.151:15970
贵州卫视,http://192.168.2.1:5155/rtp/233.18.204.101:5140?fcc=124.75.26.151:15970
贵州卫视,http://192.168.2.1:5155/rtp/233.18.204.144:5140?fcc=124.75.26.151:15970
辽宁卫视,http://192.168.2.1:5155/rtp/233.18.204.96:5140?fcc=124.75.26.151:15970
辽宁卫视,http://192.168.2.1:5155/rtp/233.18.204.126:5140?fcc=124.75.26.151:15970
黑龙江卫视,http://192.168.2.1:5155/rtp/233.18.204.90:5140?fcc=124.75.26.151:15970
黑龙江卫视,http://192.168.2.1:5155/rtp/233.18.204.139:5140?fcc=124.75.26.151:15970
吉林卫视,http://192.168.2.1:5155/rtp/233.18.204.108:5140?fcc=124.75.26.151:15970
吉林卫视,http://192.168.2.1:5155/rtp/233.18.204.131:5140?fcc=124.75.26.151:15970
延边卫视,http://192.168.2.1:5155/rtp/233.18.204.155:5140?fcc=124.75.26.151:15970
江西卫视,http://192.168.2.1:5155/rtp/233.18.204.95:5140?fcc=124.75.26.151:15970
江西卫视,http://192.168.2.1:5155/rtp/233.18.204.130:5140?fcc=124.75.26.151:15970
陕西卫视,http://192.168.2.1:5155/rtp/233.18.204.223:5140?fcc=124.75.26.151:15970
陕西卫视,http://192.168.2.1:5155/rtp/233.18.204.135:5140?fcc=124.75.26.151:15970
内蒙古卫视,http://192.168.2.1:5155/rtp/233.18.204.217:5140?fcc=124.75.26.151:15970
内蒙古卫视,http://192.168.2.1:5155/rtp/233.18.204.141:5140?fcc=124.75.26.151:15970
甘肃卫视,http://192.168.2.1:5155/rtp/233.18.204.110:5140?fcc=124.75.26.151:15970
甘肃卫视,http://192.168.2.1:5155/rtp/233.18.204.137:5140?fcc=124.75.26.151:15970
宁夏卫视,http://192.168.2.1:5155/rtp/233.18.204.230:5140?fcc=124.75.26.151:15970
宁夏卫视,http://192.168.2.1:5155/rtp/233.18.204.117:5140?fcc=124.75.26.151:15970
新疆卫视,http://192.168.2.1:5155/rtp/233.18.204.220:5140?fcc=124.75.26.151:15970
新疆卫视,http://192.168.2.1:5155/rtp/233.18.204.147:5140?fcc=124.75.26.151:15970
青海卫视,http://192.168.2.1:5155/rtp/233.18.204.112:5140?fcc=124.75.26.151:15970
青海卫视,http://192.168.2.1:5155/rtp/233.18.204.133:5140?fcc=124.75.26.151:15970
西藏卫视,http://192.168.2.1:5155/rtp/233.18.204.222:5140?fcc=124.75.26.151:15970
西藏卫视,http://192.168.2.1:5155/rtp/233.18.204.134:5140?fcc=124.75.26.151:15970
兵团卫视,http://192.168.2.1:5155/rtp/233.18.204.221:5140?fcc=124.75.26.151:15970
兵团卫视,http://192.168.2.1:5155/rtp/233.18.204.148:5140?fcc=124.75.26.151:15970
上海,#genre#
新闻综合,http://192.168.2.1:5155/rtp/233.18.204.57:5140?fcc=124.75.26.151:15970
新闻综合,http://192.168.2.1:5155/rtp/233.18.204.189:5140?fcc=124.75.26.151:15970
都市频道,http://192.168.2.1:5155/rtp/233.18.204.53:5140?fcc=124.75.26.151:15970
